MEAN RT CWP,MEAN RT CWU,MEAN RT PW
0.794196755,1.825193151,2.044791216
0.875737531,2.398722505,2.85643381
0.842349474,0.840837156,0.983944901
0.694373646,1.422576547,1.906561604
0.694373646,1.422576547,1.906561604
0.832288448,2.910063948,2.378381367
0.820966172,1.084439667,0.840847922
0.595634578,0.636050255,0.615608584
0.990121344,1.971009162,1.154755938
0.799636167,0.944413479,0.957775229
